Family_name;sp_name;latitude;elevation;annual_mean_temp;annual_prec;Trunk_circumference;age_rank;unique_name;religion;sp_num;Family_num
Adoxaceae;Viburnum_odoratissimum;36.3208311;99.80787659;14.8;1185.8;312;2;0;0;207;55
Adoxaceae;Viburnum_odoratissimum;36.3208311;99.80787659;14.8;1185.8;818;2;0;0;207;55
Altingiaceae;Liquidambar_formosana;35.4074568;238.7716217;13.8;1687.9;305;2;0;1;175;51
Anacardiaceae;Toxicodendron_succedaneum;34.5637089;11.2305088;15.5;1044.9;330;4;1;0;67;13
Anacardiaceae;Toxicodendron_succedaneum;34.4081121;3.319304705;15.6;1676.3;305;3;1;0;67;13
Anacardiaceae;Toxicodendron_succedaneum;35.3670442;8.384380341;15;1663.1;537;4;0;0;67;13
Anacardiaceae;Toxicodendron_succedaneum;33.9547155;9.226364136;15.5;1649.7;375;2;0;1;67;13
Anacardiaceae;Toxicodendron_succedaneum;33.4500971;6.739165306;16;1921.3;340;4;0;0;67;13
Anacardiaceae;Toxicodendron_succedaneum;33.5329067;52.19605637;15.1;1639;370;3;0;0;67;13
Anacardiaceae;Toxicodendron_succedaneum;32.4585255;3.856344461;16.8;2090.3;305;3;0;0;67;13
Anacardiaceae;Toxicodendron_sylvestre;26.6575819;52.62234116;22;2160.6;390;3;0;1;15;13
Anacardiaceae;Toxicodendron_succedaneum;34.3358803;17.4616127;15.6;1723.4;365;4;0;0;67;13
Anacardiaceae;Toxicodendron_succedaneum;34.2276558;6.121500969;16.6;1317;416;3;0;0;67;13
Anacardiaceae;Toxicodendron_succedaneum;33.8819597;4.533555984;16.5;1751.6;332;1;0;0;67;13
Anacardiaceae;Toxicodendron_succedaneum;32.6036022;284.0759888;14.4;2638.1;300;2;0;1;67;13
Aquifoliaceae;Ilex_integra;33.2466618;4.602416039;16.4;1564.4;380;4;0;1;64;28
Aquifoliaceae;Ilex_rotunda;34.9768551;4.655248642;15.6;1701.4;410;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;34.9290191;59.13895035;14.7;1303.4;400;4;0;0;38;28
Aquifoliaceae;Ilex_integra;33.8702065;92.50849152;14.7;1591.4;360;4;0;0;64;28
Aquifoliaceae;Ilex_integra;36.239317;24.66701508;13.2;1315.7;337;4;0;1;64;28
Aquifoliaceae;Ilex_rotunda;34.492512;20.91383362;15.1;1870;330;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.6815797;31.12400055;15.3;1602.6;306;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9548536;23.16151237;15.8;1412.6;360;3;1;0;38;28
Aquifoliaceae;Ilex_integra;32.8434342;8.322517395;17;2086.3;355;4;0;0;64;28
Aquifoliaceae;Ilex_rotunda;34.4081121;3.319304705;15.6;1676.3;330;3;0;0;38;28
Aquifoliaceae;Ilex_chinensis;33.5592685;15.60760498;16.1;1611.4;300;4;0;0;108;28
